num#title#director#role#init_year#area#genre#rating_num#comment_num#comment#url
1#肖申克的救赎#弗兰克·德拉邦特 Frank Darabont#蒂姆·罗宾斯 Tim Robbins #1994#美国#['犯罪 剧情']#9.6#1123064#希望让人自由。#https://movie.douban.com/subject/1292052/
2#霸王别姬#陈凯歌 Kaige Chen#张国荣 Leslie Cheung #1993#中国大陆 香港#['剧情 爱情 同性']#9.5#819152#风华绝代。#https://movie.douban.com/subject/1291546/
3#这个杀手不太冷#吕克·贝松 Luc Besson#让·雷诺 Jean Reno #1994#法国#['剧情 动作 犯罪']#9.4#1040425#怪蜀黍和小萝莉不得不说的故事。#https://movie.douban.com/subject/1295644/
4#阿甘正传#Robert Zemeckis#Tom Hanks #1994#美国#['剧情 爱情']#9.4#887148#一部美国近现代史。#https://movie.douban.com/subject/1292720/
5#美丽人生#罗伯托·贝尼尼 Roberto Benigni#罗伯托·贝尼尼 Roberto Beni...']#1997#意大利#['剧情 喜剧 爱情 战争']#9.5#517743#最美的谎言。#https://movie.douban.com/subject/1292063/
6#泰坦尼克号#詹姆斯·卡梅隆 James Cameron#莱昂纳多·迪卡普里奥 Leonardo...']#1997#美国#['剧情 爱情 灾难']#9.3#824753#失去的才是永恒的。 #https://movie.douban.com/subject/1292722/
7#千与千寻#宫崎骏 Hayao Miyazaki#柊瑠美 Rumi Hîragi #2001#日本#['剧情 动画 奇幻']#9.3#825212#最好的宫崎骏，最好的久石让。 #https://movie.douban.com/subject/1291561/
8#辛德勒的名单#史蒂文·斯皮尔伯格 Steven Spielberg#连姆·尼森 Liam Neeson...']#1993#美国#['剧情 历史 战争']#9.4#468379#拯救一个人，就是拯救整个世界。#https://movie.douban.com/subject/1295124/
9#盗梦空间#克里斯托弗·诺兰 Christopher Nolan#莱昂纳多·迪卡普里奥 Le...']#2010#美国 英国#['剧情 科幻 悬疑 冒险']#9.3#913346#诺兰给了我们一场无法盗取的梦。#https://movie.douban.com/subject/3541415/
10#机器人总动员#安德鲁·斯坦顿 Andrew Stanton#本·贝尔特 Ben Burtt #2008#美国#['爱情 科幻 动画 冒险']#9.3#602254#小瓦力，大人生。#https://movie.douban.com/subject/2131459/
11#忠犬八公的故事#莱塞·霍尔斯道姆 Lasse Hallström#理查·基尔 Richard Ger...']#2009#美国 英国#['剧情']#9.3#580778#永远都不能忘记你所爱的人。#https://movie.douban.com/subject/3011091/
12#三傻大闹宝莱坞#拉库马·希拉尼 Rajkumar Hirani#阿米尔·汗 Aamir Khan #2009#印度#['剧情 喜剧 爱情 歌舞']#9.2#820527#英俊版憨豆，高情商版谢耳朵。#https://movie.douban.com/subject/3793023/
13#海上钢琴师#朱塞佩·托纳多雷 Giuseppe Tornatore#蒂姆·罗斯 Tim Roth #1998#意大利#['剧情 音乐']#9.2#692088#每个人都要走一条自己坚定了的路，就算是粉身碎骨。 #https://movie.douban.com/subject/1292001/
14#放牛班的春天#克里斯托夫·巴拉蒂 Christophe Barratier#杰拉尔·朱诺 Géra...']#2004#法国 瑞士 德国#['剧情 音乐']#9.2#557029#天籁一般的童声，是最接近上帝的存在。 #https://movie.douban.com/subject/1291549/
